Actual Point Number,Total Frequency /MHz,Detuning (MHz),Total Frequency (Detuning),Mean tau/us,Corrected Tau (us),tau std. dev./us,tau rel. std. dev./%,Alpha - Uncorrected,Alpha - Corrected,Cavity Temperature Side 2 /C,Cavity Pressure /Torr,,aaaa
148,9506.20717,,,1.11E-06,,,,2878.38,0.287838,27.85,300.0248,,1.10513
149,9506.20817,,,1.13E-06,,,,4200.83,0.420083,27.85,300.0248,,1.12943
150,9506.20917,,,1.15E-06,,,,6601.27,0.660127,27.85,300.0248,,1.15452
151,9506.21017,,,1.18E-06,,,,9513.07,0.951307,27.85,300.0248,,1.18032
152,9506.21117,,,1.21E-06,,,,12365.9,1.23659,27.85,300.0248,,1.20677
153,9506.21217,,,1.23E-06,,,,14585.5,1.45855,27.85,300.0248,,1.2338
154,9506.21317,,,1.26E-06,,,,15594.6,1.55946,27.85,300.0248,,1.26132
155,9506.21418,,,1.29E-06,,,,14951.4,1.49514,27.85,300.0248,,1.28925
156,9506.21518,,,1.32E-06,,,,13047.9,1.30479,27.85,300.0248,,1.3175
157,9506.21618,,,1.35E-06,,,,10592.9,1.05929,27.85,300.0248,,1.34599
158,9506.21718,,,1.37E-06,,,,8293.97,0.829397,27.85,300.0248,,1.37461
159,9506.21818,,,1.40E-06,,,,6855.95,0.685595,27.85,300.0248,,1.40329
160,9506.21918,,,1.43E-06,,,,6982.29,0.698229,27.85,300.0248,,1.43213
161,9506.22018,,,1.46E-06,,,,9300.82,0.930082,27.85,300.0248,,1.4613
162,9506.22118,,,1.49E-06,,,,13534.5,1.35345,27.85,300.0248,,1.491
163,9506.22219,,,1.52E-06,,,,18806.4,1.88064,27.85,300.0248,,1.52138
164,9506.22319,,,1.55E-06,,,,24199.2,2.41992,27.85,300.0248,,1.55261
165,9506.22419,,,1.58E-06,,,,28784.1,2.87841,27.85,300.0248,,1.58487
166,9506.22519,,,1.62E-06,,,,31626.4,3.16264,27.85,300.0248,,1.61836
167,9506.22619,,,1.65E-06,,,,32089,3.2089,27.85,300.0248,,1.65327
168,9506.22719,,,1.69E-06,,,,30763.7,3.07637,27.85,300.0248,,1.6898
169,9506.22819,,,1.73E-06,,,,28558.7,2.85587,27.85,300.0248,,1.72819
170,9506.22919,,,1.77E-06,,,,26379,2.6379,27.85,300.0248,,1.76857
171,9506.2302,,,1.81E-06,,,,25124.1,2.51241,27.85,300.0248,,1.81082
172,9506.2312,,,1.85E-06,,,,25684.8,2.56848,27.85,300.0248,,1.85478
173,9506.2322,,,1.90E-06,,,,28388.5,2.83885,27.85,300.0248,,1.9003
174,9506.2332,,,1.95E-06,,,,32553.5,3.25535,27.85,300.0248,,1.94724
175,9506.2342,,,2.00E-06,,,,37413.5,3.74135,27.85,300.0248,,1.99546
176,9506.2352,,,2.04E-06,,,,42202.3,4.22023,27.85,300.0248,,2.0448
177,9506.2362,,,2.10E-06,,,,46146.9,4.61469,27.85,300.0248,,2.09508
178,9506.2372,,,2.15E-06,,,,48493.2,4.84932,27.85,300.0248,,2.14613
179,9506.23821,,,2.20E-06,,,,49123.7,4.91237,27.85,300.0248,,2.19776
180,9506.23921,,,2.25E-06,,,,48608.3,4.86083,27.85,300.0248,,2.24977
181,9506.24021,,,2.30E-06,,,,47552.7,4.75527,27.85,300.0248,,2.30213
182,9506.24121,,,2.36E-06,,,,46562.4,4.65624,27.85,300.0248,,2.35502
183,9506.24221,,,2.41E-06,,,,46242.2,4.62422,27.85,300.0248,,2.4086
184,9506.24321,,,2.46E-06,,,,47024.8,4.70248,27.85,300.0248,,2.46306
185,9506.24421,,,2.52E-06,,,,48782,4.8782,27.85,300.0248,,2.51861
186,9506.24521,,,2.58E-06,,,,51271.9,5.12719,27.85,300.0248,,2.57544
187,9506.24622,,,2.63E-06,,,,54251.9,5.42519,27.85,300.0248,,2.63379
188,9506.24722,,,2.69E-06,,,,57478.6,5.74786,27.85,300.0248,,2.69389
189,9506.24822,,,2.76E-06,,,,60717.5,6.07175,27.85,300.0248,,2.756
190,9506.24922,,,2.82E-06,,,,63857.3,6.38573,27.85,300.0248,,2.82039
191,9506.25022,,,2.89E-06,,,,66864.8,6.68648,27.85,300.0248,,2.88726
192,9506.25122,,,2.96E-06,,,,69707.7,6.97077,27.85,300.0248,,2.95659
193,9506.25222,,,3.03E-06,,,,72353.7,7.23537,27.85,300.0248,,3.02833
194,9506.25322,,,3.10E-06,,,,74773.5,7.47735,27.85,300.0248,,3.10243
195,9506.25423,,,3.18E-06,,,,77063.6,7.70636,27.85,300.0248,,3.17883
196,9506.25523,,,3.26E-06,,,,79484.3,7.94843,27.85,300.0248,,3.25745
197,9506.25623,,,3.34E-06,,,,82311.3,8.23113,27.85,300.0248,,3.33822
198,9506.25723,,,3.42E-06,,,,85822.6,8.58226,27.85,300.0248,,3.42105
199,9506.25823,,,3.51E-06,,,,90298.7,9.02987,27.85,300.0248,,3.50585
200,9506.25923,,,3.59E-06,,,,95957.8,9.59578,27.85,300.0248,,3.59248
201,9506.26023,,,3.68E-06,,,,102679,10.2679,27.85,300.0248,,3.68084
202,9506.26123,,,3.77E-06,,,,110229,11.0229,27.85,300.0248,,3.77075
203,9506.26224,,,3.86E-06,,,,118374,11.8374,27.85,300.0248,,3.86207
204,9506.26324,,,3.95E-06,,,,126873,12.6873,27.85,300.0248,,3.95461
205,9506.26424,,,4.05E-06,,,,135529,13.5529,27.85,300.0248,,4.04816
